id,title,title_slug,difficulty,likes,dislikes,ratio
334,Increasing Triplet Subsequence,increasing-triplet-subsequence,medium,6013,268,22.436567164179106
97,Interleaving String,interleaving-string,medium,6010,366,16.420765027322403
733,Flood Fill,flood-fill,easy,5978,578,10.342560553633218
525,Contiguous Array,contiguous-array,medium,5975,242,24.6900826446281
204,Count Primes,count-primes,medium,5963,1151,5.180712423979148
662,Maximum Width of Binary Tree,maximum-width-of-binary-tree,medium,5908,832,7.100961538461538
698,Partition to K Equal Sum Subsets,partition-to-k-equal-sum-subsets,medium,5894,402,14.661691542288557
503,Next Greater Element II,next-greater-element-ii,medium,5872,163,36.02453987730061
188,Best Time to Buy and Sell Stock IV,best-time-to-buy-and-sell-stock-iv,hard,5853,190,30.805263157894736
66,Plus One,plus-one,easy,5849,4587,1.2751253542620449
740,Delete and Earn,delete-and-earn,medium,5846,311,18.79742765273312
417,Pacific Atlantic Water Flow,pacific-atlantic-water-flow,medium,5834,1104,5.284420289855072
718,Maximum Length of Repeated Subarray,maximum-length-of-repeated-subarray,medium,5818,145,40.12413793103448
801,Is Graph Bipartite?,is-graph-bipartite,medium,5784,293,19.74061433447099
874,Backspace String Compare,backspace-string-compare,easy,5779,265,21.807547169811322
744,Network Delay Time,network-delay-time,medium,5779,324,17.83641975308642
350,Intersection of Two Arrays II,intersection-of-two-arrays-ii,easy,5677,797,7.122961104140527
211,Design Add and Search Words Data Structure,design-add-and-search-words-data-structure,medium,5640,323,17.461300309597522
778,Reorganize String,reorganize-string,medium,5617,193,29.10362694300518
140,Word Break II,word-break-ii,hard,5614,494,11.364372469635628
1013,Fibonacci Number,fibonacci-number,easy,5601,299,18.732441471571907
1046,Max Consecutive Ones III,max-consecutive-ones-iii,medium,5543,66,83.98484848484848
95,Unique Binary Search Trees II,unique-binary-search-trees-ii,medium,5515,362,15.234806629834255
907,Koko Eating Bananas,koko-eating-bananas,medium,5508,249,22.120481927710845
1056,Capacity To Ship Packages Within D Days,capacity-to-ship-packages-within-d-days,medium,5495,116,47.37068965517241
106,Construct Binary Tree from Inorder and Postorder Traversal,construct-binary-tree-from-inorder-and-postorder-traversal,medium,5492,83,66.16867469879519
